matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083929.7516654,1527083950.562102,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083954.7117095,1527083957.5041142,8.859278099307869e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083963.8845255,1527083968.658134,2.4163713059829555e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083969.0481343,1527083969.2509348,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083977.7061498,1527083981.840157,4.529629165835305e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083982.6513584,1527083983.2285597,1.9843636733847246e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083999.4681878,1527084016.4410179,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084026.175435,1527084046.8922713,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084050.9794786,1527084053.7718835,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084059.231893,1527084063.1943,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084063.3971002,1527084063.5219007,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084072.413916,1527084076.5479236,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084077.3903248,1527084077.967526,1.9844053763920097e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084092.1011508,1527084109.323581,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084121.7412026,1527084144.033642,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084148.152049,1527084150.5076535,8.859278099307869e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084155.530862,1527084159.399669,2.4163540916352726e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084159.6180692,1527084159.7272694,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084167.4960833,1527084171.5676901,4.529659375100226e-12,windows,mkl,0
