matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
PR02R.mtx,161070x161070,non_def_pos,1527111907.063111,1527111978.2992578,715977832381.3489,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527111981.1688983,1527111981.6041992,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527111985.8966503,1527111986.391364,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527112003.393297,1527112004.162886,4.089090747942091e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527112112.4250717,1527112145.9357955,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527112202.552716,1527112241.0306978,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527112267.2304096,1527112273.5125773,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527112377.495474,1527112448.597963,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527112451.4086792,1527112451.8380163,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527112456.116939,1527112456.601679,0.03393998021633246,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527112473.3971965,1527112474.1704948,4.089076515968476e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527112582.632589,1527112616.242962,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527112672.6878505,1527112711.2165499,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527112737.5553117,1527112743.8460457,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527112847.1508398,1527112918.2249644,845137281272.4894,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527112921.067804,1527112921.4960241,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527112925.7540984,1527112926.2268195,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527112943.1549299,1527112943.9329007,4.089090747942091e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527113051.680179,1527113085.1547558,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527113141.7428803,1527113180.2346342,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527113206.5461688,1527113212.833598,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527113316.3718445,1527113387.6823351,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527113390.5218394,1527113390.9489996,1.3331260196024399e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527113395.2088606,1527113395.6924777,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527113412.5212054,1527113413.2888474,4.089090747942091e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527113521.9427466,1527113555.4328585,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527113611.614345,1527113650.0878918,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527113676.3792582,1527113682.6548886,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527113785.879683,1527113856.7946312,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527113859.620773,1527113860.0415335,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527113864.303472,1527113864.7871082,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527113881.7111752,1527113882.4767377,4.089083658473406e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527113990.5336368,1527114023.905381,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527114080.5810783,1527114119.058944,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527114145.2975976,1527114151.5892785,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527114255.6774504,1527114326.8509169,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527114329.6894813,1527114330.1052608,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527114334.4393148,1527114334.9207904,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527114351.7253442,1527114352.4897075,4.089090747942091e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527114460.7733197,1527114494.3985803,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527114551.3042257,1527114589.933591,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527114616.2539186,1527114622.5366666,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527114725.963793,1527114797.0565886,2066635875576.0688,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527114799.9036734,1527114800.320357,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527114804.6208143,1527114805.1084826,0.04068018104349518,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527114822.1729934,1527114822.937218,4.089076515968476e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527114930.9745162,1527114964.5647855,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527115020.9975953,1527115059.5129967,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527115085.6725001,1527115091.965327,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527115195.9191918,1527115267.0252893,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527115269.851472,1527115270.2806225,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527115274.5607586,1527115275.0448298,0.05299469313855563,windows,mkl,0
