matrix, dimensions, type, n_iter, time_start, time_stop 
cfd1.mtx, 70656x70656, def_pos, 29, 1527069608.348482, 1527069610.871286 
cfd1.mtx, 70656x70656, def_pos, 30, 1527069610.886886, 1527069613.308890 
cfd2.mtx, 123440x123440, def_pos, 1, 1527069620.609704, 1527069626.303713 
cfd2.mtx, 123440x123440, def_pos, 2, 1527069626.334913, 1527069633.120925 
cfd2.mtx, 123440x123440, def_pos, 3, 1527069633.136525, 1527069638.908535 
cfd2.mtx, 123440x123440, def_pos, 4, 1527069638.939736, 1527069645.476147 
cfd2.mtx, 123440x123440, def_pos, 5, 1527069645.491747, 1527069651.248157 
cfd2.mtx, 123440x123440, def_pos, 6, 1527069651.294957, 1527069657.628568 
cfd2.mtx, 123440x123440, def_pos, 7, 1527069657.644168, 1527069663.478579 
cfd2.mtx, 123440x123440, def_pos, 8, 1527069663.494179, 1527069670.030590 
cfd2.mtx, 123440x123440, def_pos, 9, 1527069670.046190, 1527069676.067801 
cfd2.mtx, 123440x123440, def_pos, 10, 1527069676.083401, 1527069682.307812 
cfd2.mtx, 123440x123440, def_pos, 11, 1527069682.323412, 1527069689.093823 
cfd2.mtx, 123440x123440, def_pos, 12, 1527069689.109424, 1527069695.989036 
cfd2.mtx, 123440x123440, def_pos, 13, 1527069696.004636, 1527069703.024648 
cfd2.mtx, 123440x123440, def_pos, 14, 1527069703.055848, 1527069709.420659 
cfd2.mtx, 123440x123440, def_pos, 15, 1527069709.436259, 1527069715.598270 
cfd2.mtx, 123440x123440, def_pos, 16, 1527069715.613870, 1527069722.306282 
cfd2.mtx, 123440x123440, def_pos, 17, 1527069722.321882, 1527069727.969092 
cfd2.mtx, 123440x123440, def_pos, 18, 1527069728.000292, 1527069734.505503 
cfd2.mtx, 123440x123440, def_pos, 19, 1527069734.536704, 1527069740.573914 
cfd2.mtx, 123440x123440, def_pos, 20, 1527069740.589514, 1527069746.907525 
cfd2.mtx, 123440x123440, def_pos, 21, 1527069746.923125, 1527069753.662337 
cfd2.mtx, 123440x123440, def_pos, 22, 1527069753.709137, 1527069760.651149 
cfd2.mtx, 123440x123440, def_pos, 23, 1527069760.682349, 1527069767.187561 
cfd2.mtx, 123440x123440, def_pos, 24, 1527069767.203161, 1527069773.505572 
cfd2.mtx, 123440x123440, def_pos, 25, 1527069773.521172, 1527069780.338384 
cfd2.mtx, 123440x123440, def_pos, 26, 1527069780.385184, 1527069788.231998 
cfd2.mtx, 123440x123440, def_pos, 27, 1527069788.247598, 1527069795.298810 
cfd2.mtx, 123440x123440, def_pos, 28, 1527069795.314410, 1527069800.977220 
cfd2.mtx, 123440x123440, def_pos, 29, 1527069800.992820, 1527069807.669632 
cfd2.mtx, 123440x123440, def_pos, 30, 1527069807.685232, 1527069813.660042 
ex15.mtx, 6867x6867, def_pos, 1, 1527069814.034443, 1527069814.065643 
ex15.mtx, 6867x6867, def_pos, 2, 1527069814.081243, 1527069814.128043 
ex15.mtx, 6867x6867, def_pos, 3, 1527069814.159243, 1527069814.190443 
ex15.mtx, 6867x6867, def_pos, 4, 1527069814.221643, 1527069814.268443 
ex15.mtx, 6867x6867, def_pos, 5, 1527069814.299643, 1527069814.346443 
ex15.mtx, 6867x6867, def_pos, 6, 1527069814.362044, 1527069814.408844 
ex15.mtx, 6867x6867, def_pos, 7, 1527069814.424444, 1527069814.471244 
ex15.mtx, 6867x6867, def_pos, 8, 1527069814.486844, 1527069814.518044 
ex15.mtx, 6867x6867, def_pos, 9, 1527069814.549244, 1527069814.580444 
ex15.mtx, 6867x6867, def_pos, 10, 1527069814.611644, 1527069814.658444 
ex15.mtx, 6867x6867, def_pos, 11, 1527069814.674044, 1527069814.720844 
ex15.mtx, 6867x6867, def_pos, 12, 1527069814.736444, 1527069814.783244 
ex15.mtx, 6867x6867, def_pos, 13, 1527069814.798844, 1527069814.845644 
ex15.mtx, 6867x6867, def_pos, 14, 1527069814.861244, 1527069814.892444 
ex15.mtx, 6867x6867, def_pos, 15, 1527069814.923645, 1527069814.954845 
ex15.mtx, 6867x6867, def_pos, 16, 1527069814.986045, 1527069815.017245 
ex15.mtx, 6867x6867, def_pos, 17, 1527069815.032845, 1527069815.064045 
ex15.mtx, 6867x6867, def_pos, 18, 1527069815.095245, 1527069815.142045 
ex15.mtx, 6867x6867, def_pos, 19, 1527069815.157645, 1527069815.204445 
ex15.mtx, 6867x6867, def_pos, 20, 1527069815.220045, 1527069815.251245 
ex15.mtx, 6867x6867, def_pos, 21, 1527069815.282445, 1527069815.313645 
ex15.mtx, 6867x6867, def_pos, 22, 1527069815.344845, 1527069815.376045 
ex15.mtx, 6867x6867, def_pos, 23, 1527069815.391645, 1527069815.438446 
ex15.mtx, 6867x6867, def_pos, 24, 1527069815.454046, 1527069815.500846 
ex15.mtx, 6867x6867, def_pos, 25, 1527069815.516446, 1527069815.563246 
ex15.mtx, 6867x6867, def_pos, 26, 1527069815.578846, 1527069815.625646 
ex15.mtx, 6867x6867, def_pos, 27, 1527069815.641246, 1527069815.688046 
ex15.mtx, 6867x6867, def_pos, 28, 1527069815.703646, 1527069815.734846 
ex15.mtx, 6867x6867, def_pos, 29, 1527069815.766046, 1527069815.797246 
ex15.mtx, 6867x6867, def_pos, 30, 1527069815.812846, 1527069815.859646 
parabolic_fem.mtx, 525825x525825, def_pos, 1, 1527069824.221261, 1527069827.419267 
parabolic_fem.mtx, 525825x525825, def_pos, 2, 1527069827.450467, 1527069830.757673 
parabolic_fem.mtx, 525825x525825, def_pos, 3, 1527069830.788873, 1527069833.893278 
parabolic_fem.mtx, 525825x525825, def_pos, 4, 1527069833.924478, 1527069837.091284 
parabolic_fem.mtx, 525825x525825, def_pos, 5, 1527069837.122484, 1527069840.351689 
parabolic_fem.mtx, 525825x525825, def_pos, 6, 1527069840.367289, 1527069843.487295 
parabolic_fem.mtx, 525825x525825, def_pos, 7, 1527069843.518495, 1527069846.810101 
parabolic_fem.mtx, 525825x525825, def_pos, 8, 1527069846.856901, 1527069849.961306 
parabolic_fem.mtx, 525825x525825, def_pos, 9, 1527069849.992506, 1527069853.190512 
parabolic_fem.mtx, 525825x525825, def_pos, 10, 1527069853.206112, 1527069856.388517 
parabolic_fem.mtx, 525825x525825, def_pos, 11, 1527069856.419717, 1527069859.648923 
parabolic_fem.mtx, 525825x525825, def_pos, 12, 1527069859.680123, 1527069862.987329 
parabolic_fem.mtx, 525825x525825, def_pos, 13, 1527069863.002929, 1527069866.154135 
parabolic_fem.mtx, 525825x525825, def_pos, 14, 1527069866.185334, 1527069869.383340 
parabolic_fem.mtx, 525825x525825, def_pos, 15, 1527069869.414540, 1527069872.550146 
parabolic_fem.mtx, 525825x525825, def_pos, 16, 1527069872.581346, 1527069875.732551 
parabolic_fem.mtx, 525825x525825, def_pos, 17, 1527069875.779351, 1527069878.961757 
parabolic_fem.mtx, 525825x525825, def_pos, 18, 1527069878.992957, 1527069882.081763 
parabolic_fem.mtx, 525825x525825, def_pos, 19, 1527069882.112963, 1527069885.248568 
parabolic_fem.mtx, 525825x525825, def_pos, 20, 1527069885.264168, 1527069888.508974 
parabolic_fem.mtx, 525825x525825, def_pos, 21, 1527069888.540174, 1527069891.691380 
parabolic_fem.mtx, 525825x525825, def_pos, 22, 1527069891.722580, 1527069894.904985 
parabolic_fem.mtx, 525825x525825, def_pos, 23, 1527069894.920585, 1527069898.180991 
parabolic_fem.mtx, 525825x525825, def_pos, 24, 1527069898.196591, 1527069901.456997 
parabolic_fem.mtx, 525825x525825, def_pos, 25, 1527069901.488197, 1527069904.577002 
parabolic_fem.mtx, 525825x525825, def_pos, 26, 1527069904.608202, 1527069907.775008 
parabolic_fem.mtx, 525825x525825, def_pos, 27, 1527069907.806208, 1527069911.035414 
parabolic_fem.mtx, 525825x525825, def_pos, 28, 1527069911.066613, 1527069914.280219 
parabolic_fem.mtx, 525825x525825, def_pos, 29, 1527069914.311419, 1527069917.478225 
parabolic_fem.mtx, 525825x525825, def_pos, 30, 1527069917.509425, 1527069920.613830 
shallow_water1.mtx, 81920x81920, def_pos, 1, 1527069921.456232, 1527069921.815032 
shallow_water1.mtx, 81920x81920, def_pos, 2, 1527069921.830632, 1527069922.189433 
shallow_water1.mtx, 81920x81920, def_pos, 3, 1527069922.205033, 1527069922.532634 
shallow_water1.mtx, 81920x81920, def_pos, 4, 1527069922.548234, 1527069922.907034 
shallow_water1.mtx, 81920x81920, def_pos, 5, 1527069922.922634, 1527069923.250235 
shallow_water1.mtx, 81920x81920, def_pos, 6, 1527069923.265835, 1527069923.609036 
shallow_water1.mtx, 81920x81920, def_pos, 7, 1527069923.624636, 1527069923.983436 
shallow_water1.mtx, 81920x81920, def_pos, 8, 1527069924.014636, 1527069924.357837 
shallow_water1.mtx, 81920x81920, def_pos, 9, 1527069924.373437, 1527069924.732237 
shallow_water1.mtx, 81920x81920, def_pos, 10, 1527069924.747838, 1527069925.106638 
shallow_water1.mtx, 81920x81920, def_pos, 11, 1527069925.122238, 1527069925.481039 
shallow_water1.mtx, 81920x81920, def_pos, 12, 1527069925.496639, 1527069925.871039 
shallow_water1.mtx, 81920x81920, def_pos, 13, 1527069925.886640, 1527069926.261040 
shallow_water1.mtx, 81920x81920, def_pos, 14, 1527069926.292240, 1527069926.635441 
shallow_water1.mtx, 81920x81920, def_pos, 15, 1527069926.666641, 1527069927.025442 
shallow_water1.mtx, 81920x81920, def_pos, 16, 1527069927.041041, 1527069927.384242 
shallow_water1.mtx, 81920x81920, def_pos, 17, 1527069927.415442, 1527069927.758643 
shallow_water1.mtx, 81920x81920, def_pos, 18, 1527069927.774243, 1527069928.117443 
shallow_water1.mtx, 81920x81920, def_pos, 19, 1527069928.133044, 1527069928.476244 
shallow_water1.mtx, 81920x81920, def_pos, 20, 1527069928.491844, 1527069928.866245 
shallow_water1.mtx, 81920x81920, def_pos, 21, 1527069928.881845, 1527069929.225045 
shallow_water1.mtx, 81920x81920, def_pos, 22, 1527069929.256246, 1527069929.583846 
shallow_water1.mtx, 81920x81920, def_pos, 23, 1527069929.599446, 1527069929.942647 
shallow_water1.mtx, 81920x81920, def_pos, 24, 1527069929.958247, 1527069930.317047 
shallow_water1.mtx, 81920x81920, def_pos, 25, 1527069930.332647, 1527069930.675848 
shallow_water1.mtx, 81920x81920, def_pos, 26, 1527069930.691448, 1527069931.019049 
shallow_water1.mtx, 81920x81920, def_pos, 27, 1527069931.034649, 1527069931.377849 
shallow_water1.mtx, 81920x81920, def_pos, 28, 1527069931.409049, 1527069931.783450 
shallow_water1.mtx, 81920x81920, def_pos, 29, 1527069931.799050, 1527069932.142251 
shallow_water1.mtx, 81920x81920, def_pos, 30, 1527069932.157851, 1527069932.501051 
PR02R.mtx, 161070x161070, non_def_pos, 1, 1527069964.200307, 1527069985.291544 
PR02R.mtx, 161070x161070, non_def_pos, 2, 1527069985.307144, 1527070007.895984 
PR02R.mtx, 161070x161070, non_def_pos, 3, 1527070007.927184, 1527070032.466027 
PR02R.mtx, 161070x161070, non_def_pos, 4, 1527070032.497227, 1527070056.739669 
PR02R.mtx, 161070x161070, non_def_pos, 5, 1527070056.770869, 1527070081.091312 
PR02R.mtx, 161070x161070, non_def_pos, 6, 1527070081.122512, 1527070105.177754 
PR02R.mtx, 161070x161070, non_def_pos, 7, 1527070105.208954, 1527070129.716598 
PR02R.mtx, 161070x161070, non_def_pos, 8, 1527070129.732197, 1527070153.803040 
PR02R.mtx, 161070x161070, non_def_pos, 9, 1527070153.834240, 1527070178.107883 
PR02R.mtx, 161070x161070, non_def_pos, 10, 1527070178.139082, 1527070202.989926 
PR02R.mtx, 161070x161070, non_def_pos, 11, 1527070203.005526, 1527070227.341569 
PR02R.mtx, 161070x161070, non_def_pos, 12, 1527070227.357169, 1527070250.258009 
PR02R.mtx, 161070x161070, non_def_pos, 13, 1527070250.289209, 1527070275.233653 
PR02R.mtx, 161070x161070, non_def_pos, 14, 1527070275.264853, 1527070299.788096 
PR02R.mtx, 161070x161070, non_def_pos, 15, 1527070299.803696, 1527070323.968139 
PR02R.mtx, 161070x161070, non_def_pos, 16, 1527070323.983739, 1527070348.413382 
PR02R.mtx, 161070x161070, non_def_pos, 17, 1527070348.428982, 1527070371.407822 
PR02R.mtx, 161070x161070, non_def_pos, 18, 1527070371.423422, 1527070396.118265 
PR02R.mtx, 161070x161070, non_def_pos, 19, 1527070396.133865, 1527070420.594708 
PR02R.mtx, 161070x161070, non_def_pos, 20, 1527070420.610308, 1527070445.086752 
PR02R.mtx, 161070x161070, non_def_pos, 21, 1527070445.102351, 1527070469.500794 
PR02R.mtx, 161070x161070, non_def_pos, 22, 1527070469.516394, 1527070493.946037 
PR02R.mtx, 161070x161070, non_def_pos, 23, 1527070493.961637, 1527070518.391280 
PR02R.mtx, 161070x161070, non_def_pos, 24, 1527070518.422480, 1527070541.073720 
PR02R.mtx, 161070x161070, non_def_pos, 25, 1527070541.089320, 1527070566.283364 
PR02R.mtx, 161070x161070, non_def_pos, 26, 1527070566.314565, 1527070593.131011 
PR02R.mtx, 161070x161070, non_def_pos, 27, 1527070593.146612, 1527070617.950655 
PR02R.mtx, 161070x161070, non_def_pos, 28, 1527070617.981855, 1527070642.005897 
PR02R.mtx, 161070x161070, non_def_pos, 29, 1527070642.021497, 1527070666.965941 
PR02R.mtx, 161070x161070, non_def_pos, 30, 1527070666.997141, 1527070691.816785 
ex19.mtx, 12005x12005, non_def_pos, 1, 1527070693.345588, 1527070693.454788 
ex19.mtx, 12005x12005, non_def_pos, 2, 1527070693.470388, 1527070693.595188 
ex19.mtx, 12005x12005, non_def_pos, 3, 1527070693.610788, 1527070693.719988 
ex19.mtx, 12005x12005, non_def_pos, 4, 1527070693.751188, 1527070693.860388 
ex19.mtx, 12005x12005, non_def_pos, 5, 1527070693.875989, 1527070694.000789 
ex19.mtx, 12005x12005, non_def_pos, 6, 1527070694.016389, 1527070694.125589 
ex19.mtx, 12005x12005, non_def_pos, 7, 1527070694.156789, 1527070694.297189 
ex19.mtx, 12005x12005, non_def_pos, 8, 1527070694.312789, 1527070694.437589 
ex19.mtx, 12005x12005, non_def_pos, 9, 1527070694.453189, 1527070694.562390 
ex19.mtx, 12005x12005, non_def_pos, 10, 1527070694.577990, 1527070694.702790 
ex19.mtx, 12005x12005, non_def_pos, 11, 1527070694.718390, 1527070694.827590 
ex19.mtx, 12005x12005, non_def_pos, 12, 1527070694.858790, 1527070694.999190 
ex19.mtx, 12005x12005, non_def_pos, 13, 1527070695.014790, 1527070695.139591 
ex19.mtx, 12005x12005, non_def_pos, 14, 1527070695.170791, 1527070695.295591 
ex19.mtx, 12005x12005, non_def_pos, 15, 1527070695.311191, 1527070695.451591 
ex19.mtx, 12005x12005, non_def_pos, 16, 1527070695.482791, 1527070695.623191 
ex19.mtx, 12005x12005, non_def_pos, 17, 1527070695.638791, 1527070695.763592 
ex19.mtx, 12005x12005, non_def_pos, 18, 1527070695.779192, 1527070695.888392 
ex19.mtx, 12005x12005, non_def_pos, 19, 1527070695.903992, 1527070696.044392 
ex19.mtx, 12005x12005, non_def_pos, 20, 1527070696.059992, 1527070696.169193 
ex19.mtx, 12005x12005, non_def_pos, 21, 1527070696.184792, 1527070696.293993 
ex19.mtx, 12005x12005, non_def_pos, 22, 1527070696.325193, 1527070696.449993 
ex19.mtx, 12005x12005, non_def_pos, 23, 1527070696.465593, 1527070696.574793 
ex19.mtx, 12005x12005, non_def_pos, 24, 1527070696.605993, 1527070696.715193 
ex19.mtx, 12005x12005, non_def_pos, 25, 1527070696.730794, 1527070696.839994 
ex19.mtx, 12005x12005, non_def_pos, 26, 1527070696.855593, 1527070696.980394 
ex19.mtx, 12005x12005, non_def_pos, 27, 1527070696.995994, 1527070697.105194 
ex19.mtx, 12005x12005, non_def_pos, 28, 1527070697.120794, 1527070697.245594 
ex19.mtx, 12005x12005, non_def_pos, 29, 1527070697.261194, 1527070697.370395 
ex19.mtx, 12005x12005, non_def_pos, 30, 1527070697.401595, 1527070697.510795 
graham1.mtx, 9035x9035, non_def_pos, 1, 1527070698.789997, 1527070699.179998 
graham1.mtx, 9035x9035, non_def_pos, 2, 1527070699.195598, 1527070699.569998 
graham1.mtx, 9035x9035, non_def_pos, 3, 1527070699.585599, 1527070699.975599 
graham1.mtx, 9035x9035, non_def_pos, 4, 1527070699.991199, 1527070700.365600 
graham1.mtx, 9035x9035, non_def_pos, 5, 1527070700.381200, 1527070700.755601 
graham1.mtx, 9035x9035, non_def_pos, 6, 1527070700.771200, 1527070701.161201 
graham1.mtx, 9035x9035, non_def_pos, 7, 1527070701.176801, 1527070701.566802 
graham1.mtx, 9035x9035, non_def_pos, 8, 1527070701.582402, 1527070701.956803 
graham1.mtx, 9035x9035, non_def_pos, 9, 1527070701.988003, 1527070702.378003 
graham1.mtx, 9035x9035, non_def_pos, 10, 1527070702.393603, 1527070702.783604 
graham1.mtx, 9035x9035, non_def_pos, 11, 1527070702.799204, 1527070703.173605 
graham1.mtx, 9035x9035, non_def_pos, 12, 1527070703.189205, 1527070703.563606 
graham1.mtx, 9035x9035, non_def_pos, 13, 1527070703.579205, 1527070703.984806 
graham1.mtx, 9035x9035, non_def_pos, 14, 1527070704.000406, 1527070704.374807 
graham1.mtx, 9035x9035, non_def_pos, 15, 1527070704.374807, 1527070704.780408 
graham1.mtx, 9035x9035, non_def_pos, 16, 1527070704.796007, 1527070705.170408 
graham1.mtx, 9035x9035, non_def_pos, 17, 1527070705.186008, 1527070705.591609 
graham1.mtx, 9035x9035, non_def_pos, 18, 1527070705.607209, 1527070705.966010 
graham1.mtx, 9035x9035, non_def_pos, 19, 1527070705.981610, 1527070706.371610 
graham1.mtx, 9035x9035, non_def_pos, 20, 1527070706.387210, 1527070706.777211 
