timestamp,memory_physical(kB),memory_virtual(kB)
1527070078.5641074,3222624.0,3316564.0
1527070078.6265078,3222624.0,3316564.0
1527070078.6889079,3222624.0,3316564.0
1527070078.7513077,3222624.0,3316564.0
1527070078.813708,3222624.0,3316564.0
1527070078.8761082,3222624.0,3316564.0
1527070078.9385083,3222624.0,3316564.0
1527070079.0009084,3222624.0,3316564.0
1527070079.0633085,3222624.0,3316564.0
1527070079.1257086,3222624.0,3316564.0
1527070079.1881087,3222624.0,3316564.0
1527070079.2505088,3222624.0,3316564.0
1527070079.312909,3222624.0,3316564.0
1527070079.375309,3222624.0,3316564.0
1527070079.4377093,3206196.0,3305228.0
1527070079.5001092,3209984.0,3305228.0
1527070079.5625093,3209992.0,3305228.0
1527070079.6249096,3209992.0,3305228.0
1527070079.6873095,3209996.0,3305228.0
1527070079.7497098,3210000.0,3305228.0
1527070079.8121097,3210000.0,3305228.0
1527070079.8745098,3210000.0,3305228.0
1527070079.9369102,3211264.0,3305228.0
1527070079.99931,3212516.0,3305228.0
1527070080.0617101,3212516.0,3305228.0
1527070080.1241102,3212516.0,3305228.0
1527070080.1865106,3212516.0,3305228.0
1527070080.2489107,3212516.0,3305228.0
1527070080.3113105,3212516.0,3305228.0
1527070080.3737109,3212516.0,3305228.0
1527070080.4361107,3212516.0,3305228.0
1527070080.498511,3212516.0,3305228.0
1527070080.5609112,3212516.0,3305228.0
1527070080.623311,3212516.0,3305228.0
1527070080.6857114,3212516.0,3305228.0
1527070080.7481117,3212516.0,3305228.0
1527070080.8105116,3212516.0,3305228.0
1527070081.0913122,932664.0,1008912.0
1527070081.153712,934904.0,1011432.0
1527070081.2161124,973844.0,1318572.0
1527070081.2785125,1035556.0,1318572.0
1527070081.3409123,1072156.0,1318572.0
1527070081.4033127,1082144.0,1318572.0
1527070081.4657125,1082304.0,1318572.0
1527070081.528113,1084136.0,1318572.0
1527070081.590513,1088120.0,1318572.0
1527070081.6529129,1148440.0,1318572.0
1527070081.7153132,1157148.0,1318572.0
1527070081.7777133,1157148.0,1318572.0
1527070081.8401134,1157148.0,1318572.0
1527070081.9025135,946524.0,1024044.0
1527070081.9649136,972340.0,2931596.0
1527070082.0273137,1098684.0,2931596.0
1527070082.0897138,1099520.0,2931596.0
1527070082.152114,1103684.0,2931596.0
1527070082.214514,1245284.0,2931596.0
1527070082.2769141,1251856.0,2931780.0
1527070082.3393142,1260044.0,2931780.0
1527070082.4017143,1279328.0,2931596.0
1527070082.4641144,1285256.0,2931596.0
1527070082.5265148,1302528.0,2931596.0
1527070082.5889146,1309356.0,2931596.0
1527070082.6513147,1314800.0,2931596.0
1527070082.7137148,1343576.0,2931596.0
1527070082.776115,1348632.0,2931596.0
1527070082.8385153,1354692.0,2931596.0
1527070082.9009151,1360856.0,2931596.0
1527070082.9633152,1367848.0,2931596.0
1527070083.0257154,1375020.0,2931596.0
1527070083.0881157,1381644.0,2931596.0
1527070083.1505158,1387316.0,2931596.0
1527070083.2129157,1394880.0,2931596.0
1527070083.275316,1447204.0,2931596.0
1527070083.3377159,1490892.0,2931596.0
1527070083.4001162,1494216.0,2931596.0
1527070083.4625163,1500172.0,2931596.0
1527070083.5249162,1506124.0,2931596.0
1527070083.5873165,1514980.0,2931596.0
1527070083.6497164,1524912.0,2931596.0
1527070083.7121167,1532392.0,2931596.0
1527070083.7745168,1539204.0,2931596.0
1527070083.836917,1545700.0,2931596.0
1527070083.899317,1551684.0,2931596.0
1527070083.961717,1556760.0,2931596.0
1527070084.0241172,1563808.0,2931596.0
1527070084.0865173,1572172.0,2931596.0
1527070084.1489174,1578224.0,2931596.0
1527070084.2113175,1583604.0,2931596.0
1527070084.2737174,1590936.0,2931596.0
1527070084.3361177,1596004.0,2931596.0
1527070084.398518,1600600.0,2931596.0
1527070084.460918,1605532.0,2931596.0
1527070084.523318,1610952.0,2931596.0
1527070084.5857182,1616956.0,2931596.0
1527070084.6481183,1621892.0,2931596.0
1527070084.7105184,1626132.0,2931596.0
1527070084.7729185,1632744.0,2931596.0
1527070084.8353186,1638156.0,2931596.0
1527070084.8977187,1642808.0,2931596.0
1527070084.9601188,1663500.0,2931596.0
1527070085.022519,1669532.0,2931596.0
1527070085.084919,1676692.0,2931596.0
1527070085.1473193,1682772.0,2931596.0
1527070085.2097192,1689880.0,2931596.0
1527070085.2721193,1696448.0,2931596.0
1527070085.3345196,1704544.0,2931596.0
1527070085.3969195,1711460.0,2931596.0
1527070085.4593198,1717952.0,2931596.0
1527070085.5217197,1723192.0,2931596.0
1527070085.5841198,1732160.0,2931596.0
1527070085.6465201,1741744.0,2931596.0
1527070085.7089202,1782656.0,2931596.0
1527070085.7713203,1787792.0,2931596.0
1527070085.8337202,1793420.0,2931596.0
1527070085.8961205,1853208.0,2931596.0
1527070085.9585207,1858400.0,2931596.0
1527070086.0209205,1863140.0,2931596.0
1527070086.0833209,1868704.0,2931596.0
1527070086.1457207,1877680.0,2931596.0
1527070086.208121,1881184.0,2931596.0
1527070086.2705212,1885636.0,2931596.0
1527070086.3329213,1888808.0,2931596.0
1527070086.3953214,1894644.0,2931596.0
1527070086.4577217,1900776.0,2931596.0
1527070086.5201216,1906732.0,2931596.0
1527070086.5825217,1913280.0,2931596.0
1527070086.6449218,1918828.0,2931596.0
1527070086.707322,1933876.0,2931596.0
1527070086.7697222,1941260.0,2931596.0
1527070086.832122,1947120.0,2931596.0
1527070086.8945224,1953488.0,2931596.0
1527070086.9569223,1960884.0,2931596.0
1527070087.0193226,1967436.0,2931596.0
1527070087.0817227,1971404.0,2931596.0
1527070087.1441226,1977340.0,2931596.0
1527070087.206523,1984516.0,2931596.0
1527070087.2689228,1992340.0,2931596.0
1527070087.331323,1999200.0,2931596.0
1527070087.3937232,2008516.0,2931596.0
1527070087.456123,2014712.0,2931596.0
1527070087.5185235,2020404.0,2931596.0
1527070087.5809233,2025324.0,2931596.0
1527070087.6433237,2030576.0,2931596.0
1527070087.7057238,2037792.0,2931596.0
1527070087.7681239,2045380.0,2931596.0
1527070087.830524,2051248.0,2931596.0
1527070087.8929238,2087892.0,2931596.0
1527070087.9553242,2091932.0,2931596.0
1527070088.0177243,2097812.0,2931596.0
1527070088.0801244,2121152.0,2931596.0
1527070088.1425245,2157304.0,2931596.0
1527070088.2049246,2218960.0,2931596.0
1527070088.2673247,2223444.0,2931596.0
1527070088.329725,2226356.0,2931596.0
1527070088.392125,2231540.0,2931596.0
1527070088.454525,2245072.0,2931596.0
1527070088.516925,2252996.0,2931596.0
1527070088.5793252,2259364.0,2931596.0
1527070088.6417253,2265632.0,2931596.0
1527070088.7041254,2271920.0,2931596.0
1527070088.7665255,2278312.0,2931596.0
1527070088.8289256,2282972.0,2931596.0
1527070088.8913257,2289408.0,2931596.0
1527070088.953726,2293460.0,2931596.0
1527070089.016126,2312300.0,2931596.0
1527070089.0785263,2315800.0,2931596.0
1527070089.1409261,2319212.0,2931596.0
1527070089.2033262,2321392.0,2931596.0
1527070089.2657266,2324216.0,2931596.0
1527070089.3281264,2329076.0,2931596.0
1527070089.3905268,2333792.0,2931596.0
1527070089.4529266,2336856.0,2931596.0
1527070089.515327,2341332.0,2931596.0
1527070089.577727,2345232.0,2931596.0
1527070089.640127,2346968.0,2931596.0
1527070089.7025273,2352072.0,2931596.0
1527070089.7649271,2355396.0,2931596.0
1527070089.8273275,2361852.0,2931596.0
1527070089.8897276,2364984.0,2931596.0
1527070089.9521275,2368052.0,2931596.0
1527070090.0145278,2371260.0,2931596.0
1527070090.0769277,2374644.0,2931596.0
1527070090.139328,2376312.0,2931596.0
1527070090.201728,2379600.0,2931596.0
1527070090.2641282,2382824.0,2931596.0
1527070090.3265283,2385984.0,2931596.0
1527070090.3889284,2389080.0,2931596.0
1527070090.4513285,2393604.0,2931596.0
1527070090.5137286,2399900.0,2931596.0
1527070090.5761287,2406904.0,2931596.0
1527070090.6385288,2413748.0,2931596.0
1527070090.700929,2419804.0,2931596.0
1527070090.763329,2427400.0,2931596.0
1527070090.8257294,2433548.0,2931596.0
1527070090.8881292,2439696.0,2931596.0
1527070090.9505293,2445732.0,2931596.0
1527070091.0129294,2450728.0,2931596.0
1527070091.0753295,2457524.0,2931596.0
1527070091.13773,2461560.0,2931596.0
1527070091.2001297,2465504.0,2931596.0
1527070091.2625299,2472484.0,2931596.0
1527070091.32493,2478800.0,2931596.0
1527070091.38733,2485064.0,2931596.0
1527070091.4497304,2491848.0,2931596.0
1527070091.5121303,2497488.0,2931596.0
1527070091.5745306,2503180.0,2931596.0
1527070091.6369305,2510548.0,2931596.0
1527070091.6993308,2517824.0,2931596.0
1527070091.761731,2524404.0,2931596.0
1527070091.8241308,2535376.0,2931596.0
1527070091.886531,2541616.0,2931596.0
1527070091.948931,2548792.0,2931596.0
1527070092.011331,2554780.0,2931596.0
1527070092.0737314,2561460.0,2931596.0
1527070092.1361315,2569612.0,2931596.0
1527070092.1985316,2575004.0,2931596.0
1527070092.2609315,2581328.0,2931596.0
1527070092.3233318,2585392.0,2931596.0
1527070092.385732,2590044.0,2931596.0
1527070092.448132,2592944.0,2931596.0
1527070092.5105321,2599484.0,2931596.0
1527070092.572932,2604492.0,2931596.0
1527070092.6353323,2609088.0,2931596.0
1527070092.6977324,2613732.0,2931596.0
1527070092.7601326,2617176.0,2931596.0
1527070092.8225327,2620472.0,2931596.0
1527070092.8849328,2624648.0,2931596.0
1527070092.9473329,2627400.0,2931596.0
1527070093.0097332,2628752.0,2931596.0
1527070093.072133,2631400.0,2931596.0
1527070093.1345332,2633980.0,2931596.0
1527070093.1969333,2636496.0,2931596.0
1527070093.2593334,2638952.0,2931596.0
1527070093.3217335,2641340.0,2931596.0
1527070093.3841336,2643668.0,2931596.0
1527070093.446534,2647036.0,2931596.0
1527070093.5089338,2650260.0,2931596.0
1527070093.571334,2653340.0,2931596.0
1527070093.6337342,2656276.0,2931596.0
1527070093.696134,2658936.0,2931596.0
1527070093.7585344,2662904.0,2931596.0
1527070093.8209343,2667600.0,2931596.0
1527070093.8833344,2673332.0,2931596.0
1527070093.9457347,2678052.0,2931596.0
1527070094.0081346,2683240.0,2931596.0
1527070094.070535,2687124.0,2931596.0
1527070094.1329348,2691680.0,2931596.0
1527070094.1953351,2696120.0,2931596.0
1527070094.2577353,2700176.0,2931596.0
1527070094.3201354,2704732.0,2931596.0
1527070094.3825355,2708536.0,2931596.0
1527070094.4449353,2713564.0,2931596.0
1527070094.5073357,2717704.0,2931596.0
1527070094.5697358,2722676.0,2931596.0
1527070094.6321356,2726900.0,2931596.0
1527070094.694536,2731800.0,2931596.0
1527070094.756936,2735036.0,2931596.0
1527070094.8193362,2739868.0,2931596.0
1527070094.8817363,2743392.0,2931596.0
1527070094.9441364,2746604.0,2931596.0
1527070095.0065365,2750248.0,2931596.0
1527070095.0689366,2753188.0,2931596.0
1527070095.1313367,2756612.0,2931596.0
1527070095.1937368,2759172.0,2931596.0
1527070095.256137,2761668.0,2931596.0
1527070095.318537,2765292.0,2931596.0
1527070095.380937,2769040.0,2931596.0
1527070095.4433372,2772700.0,2931596.0
1527070095.5057375,2775828.0,2931596.0
1527070095.5681374,2779700.0,2931596.0
1527070095.6305377,2784188.0,2931596.0
1527070095.6929376,2789056.0,2931596.0
1527070095.7553377,2794064.0,2931596.0
1527070095.817738,2797872.0,2931596.0
1527070095.880138,2801816.0,2931596.0
1527070095.942538,2805164.0,2931596.0
1527070096.0049381,2808344.0,2931596.0
1527070096.0673385,2811268.0,2931596.0
1527070096.1297386,2813840.0,2931596.0
1527070096.1921384,2818084.0,2931596.0
1527070096.2545388,2821928.0,2931596.0
1527070096.3169386,2826484.0,2931596.0
1527070096.379339,2830916.0,2931596.0
1527070096.441739,2834864.0,2931596.0
1527070096.504139,2839448.0,2931596.0
1527070096.5665393,2861124.0,5206456.0
1527070096.6289392,2940032.0,5206456.0
1527070096.6913395,3018740.0,5206456.0
1527070096.7537396,3110612.0,5206456.0
1527070096.8161397,3226552.0,5206456.0
1527070096.8785398,3343668.0,5206456.0
1527070096.9409397,3460588.0,5206456.0
1527070097.00334,3579440.0,5206456.0
1527070097.06574,3696956.0,5206456.0
1527070097.1281402,3810040.0,5206456.0
1527070097.1905403,3928556.0,5206456.0
1527070097.2529402,4044712.0,5206456.0
1527070097.3153405,4161588.0,5206456.0
1527070097.3777409,4281252.0,5206456.0
1527070097.4401407,4399864.0,5206456.0
1527070097.5025408,4518116.0,5206456.0
1527070097.5649412,4634408.0,5206456.0
1527070097.7989414,2852892.0,5206456.0
1527070097.8613415,2931568.0,3316564.0
1527070097.9237416,3033936.0,3316564.0
1527070097.9861417,3086668.0,3316564.0
1527070098.0485418,3088780.0,3316564.0
1527070098.110942,3093060.0,3316564.0
1527070098.1733422,3094304.0,3316564.0
1527070098.235742,3127712.0,3316564.0
1527070098.2981422,3128828.0,3316564.0
1527070098.3605425,3128828.0,3316564.0
1527070098.4229424,3131236.0,3316564.0
1527070098.4853427,3131236.0,3316564.0
1527070098.5477426,3184984.0,3316564.0
1527070098.6101427,3187500.0,3316564.0
1527070098.672543,3187500.0,3316564.0
1527070098.734943,3187500.0,3316564.0
1527070098.7973433,3195964.0,3316564.0
1527070098.859743,3222616.0,3316564.0
1527070098.9221435,3222616.0,3316564.0
1527070098.9845436,3222616.0,3316564.0
1527070099.0469434,3222616.0,3316564.0
1527070099.1093438,3222616.0,3316564.0
1527070099.1717436,3222616.0,3316564.0
1527070099.234144,3222616.0,3316564.0
