matrix, dimensions, type, n_iter, time_start, time_stop 
ex15.mtx, 6867x6867, def_pos, 19, 1527100631.518282, 1527100631.535719 
ex15.mtx, 6867x6867, def_pos, 20, 1527100631.551432, 1527100631.569004 
ex15.mtx, 6867x6867, def_pos, 21, 1527100631.584158, 1527100631.602132 
ex15.mtx, 6867x6867, def_pos, 22, 1527100631.617291, 1527100631.635789 
ex15.mtx, 6867x6867, def_pos, 23, 1527100631.651632, 1527100631.668911 
ex15.mtx, 6867x6867, def_pos, 24, 1527100631.684571, 1527100631.701795 
ex15.mtx, 6867x6867, def_pos, 25, 1527100631.716310, 1527100631.733742 
ex15.mtx, 6867x6867, def_pos, 26, 1527100631.748148, 1527100631.766377 
ex15.mtx, 6867x6867, def_pos, 27, 1527100631.781133, 1527100631.801443 
ex15.mtx, 6867x6867, def_pos, 28, 1527100631.816326, 1527100631.836336 
ex15.mtx, 6867x6867, def_pos, 29, 1527100631.850660, 1527100631.870511 
ex15.mtx, 6867x6867, def_pos, 30, 1527100631.884255, 1527100631.904657 
parabolic_fem.mtx, 525825x525825, def_pos, 1, 1527100636.465039, 1527100639.803802 
parabolic_fem.mtx, 525825x525825, def_pos, 2, 1527100639.839475, 1527100643.323389 
parabolic_fem.mtx, 525825x525825, def_pos, 3, 1527100643.354108, 1527100646.418252 
parabolic_fem.mtx, 525825x525825, def_pos, 4, 1527100646.450092, 1527100649.198365 
parabolic_fem.mtx, 525825x525825, def_pos, 5, 1527100649.226454, 1527100651.943215 
parabolic_fem.mtx, 525825x525825, def_pos, 6, 1527100651.966237, 1527100654.580314 
parabolic_fem.mtx, 525825x525825, def_pos, 7, 1527100654.607970, 1527100657.362797 
parabolic_fem.mtx, 525825x525825, def_pos, 8, 1527100657.393309, 1527100660.129314 
parabolic_fem.mtx, 525825x525825, def_pos, 9, 1527100660.155313, 1527100662.805296 
parabolic_fem.mtx, 525825x525825, def_pos, 10, 1527100662.832908, 1527100665.609653 
parabolic_fem.mtx, 525825x525825, def_pos, 11, 1527100665.638077, 1527100669.177964 
parabolic_fem.mtx, 525825x525825, def_pos, 12, 1527100669.209653, 1527100672.421419 
parabolic_fem.mtx, 525825x525825, def_pos, 13, 1527100672.452690, 1527100675.701775 
parabolic_fem.mtx, 525825x525825, def_pos, 14, 1527100675.738524, 1527100679.874205 
parabolic_fem.mtx, 525825x525825, def_pos, 15, 1527100679.920753, 1527100684.815680 
parabolic_fem.mtx, 525825x525825, def_pos, 16, 1527100684.853912, 1527100688.704669 
parabolic_fem.mtx, 525825x525825, def_pos, 17, 1527100688.740420, 1527100692.162013 
parabolic_fem.mtx, 525825x525825, def_pos, 18, 1527100692.196014, 1527100695.433567 
parabolic_fem.mtx, 525825x525825, def_pos, 19, 1527100695.467879, 1527100698.950039 
parabolic_fem.mtx, 525825x525825, def_pos, 20, 1527100698.981395, 1527100702.132518 
parabolic_fem.mtx, 525825x525825, def_pos, 21, 1527100702.161389, 1527100704.920035 
parabolic_fem.mtx, 525825x525825, def_pos, 22, 1527100704.950669, 1527100707.865149 
parabolic_fem.mtx, 525825x525825, def_pos, 23, 1527100707.898111, 1527100711.258540 
parabolic_fem.mtx, 525825x525825, def_pos, 24, 1527100711.296891, 1527100715.423241 
parabolic_fem.mtx, 525825x525825, def_pos, 25, 1527100715.461849, 1527100718.963145 
parabolic_fem.mtx, 525825x525825, def_pos, 26, 1527100718.993901, 1527100722.144413 
parabolic_fem.mtx, 525825x525825, def_pos, 27, 1527100722.175462, 1527100724.946816 
parabolic_fem.mtx, 525825x525825, def_pos, 28, 1527100724.977345, 1527100727.900065 
parabolic_fem.mtx, 525825x525825, def_pos, 29, 1527100727.931895, 1527100731.322037 
parabolic_fem.mtx, 525825x525825, def_pos, 30, 1527100731.359557, 1527100735.475037 
shallow_water1.mtx, 81920x81920, def_pos, 1, 1527100736.011271, 1527100736.433835 
shallow_water1.mtx, 81920x81920, def_pos, 2, 1527100736.459315, 1527100736.880449 
shallow_water1.mtx, 81920x81920, def_pos, 3, 1527100736.909236, 1527100737.327134 
shallow_water1.mtx, 81920x81920, def_pos, 4, 1527100737.349437, 1527100737.789413 
shallow_water1.mtx, 81920x81920, def_pos, 5, 1527100737.813192, 1527100738.232430 
shallow_water1.mtx, 81920x81920, def_pos, 6, 1527100738.255449, 1527100738.656165 
shallow_water1.mtx, 81920x81920, def_pos, 7, 1527100738.677408, 1527100739.034584 
shallow_water1.mtx, 81920x81920, def_pos, 8, 1527100739.058572, 1527100739.428571 
shallow_water1.mtx, 81920x81920, def_pos, 9, 1527100739.449113, 1527100739.806362 
